tf,target
PHF21A,ANXA5
POU2F1,ANXA5
POU3F2,ANXA5
RFX2,ANXA5
SATB2,ANXA5
SOX2,ANXA5
SOX5,ANXA5
SOX6,ANXA5
SOX9,ANXA5
TBR1,ANXA5
TCF12,ANXA5
TCF3,ANXA5
TCF7L1,ANXA5
TFAP2C,ANXA5
VEZF1,ANXA5
ZBTB18,ANXA5
ZBTB20,ANXA5
ZNF148,ANXA5
ZNF219,ANXA5
ZNF281,ANXA5
ZNF441,ANXA5
ARX,ANXA6
ASCL1,ANXA6
ATF7,ANXA6
BHLHE22,ANXA6
CTCF,ANXA6
DEAF1,ANXA6
EMX1,ANXA6
FOS,ANXA6
KLF10,ANXA6
KLF11,ANXA6
KLF3,ANXA6
MEF2C,ANXA6
MEIS2,ANXA6
NEUROD6,ANXA6
NFIA,ANXA6
NFIB,ANXA6
NR2E1,ANXA6
NR4A2,ANXA6
POU2F1,ANXA6
POU3F2,ANXA6
RFX2,ANXA6
SOX5,ANXA6
SOX6,ANXA6
TBR1,ANXA6
TCF3,ANXA6
TCF7L1,ANXA6
TFAP2C,ANXA6
VEZF1,ANXA6
ZBTB18,ANXA6
ZBTB20,ANXA6
ZNF148,ANXA6
ZNF219,ANXA6
ZNF441,ANXA6
ASCL1,AP1S2
ATF7,AP1S2
BHLHE22,AP1S2
DEAF1,AP1S2
EMX1,AP1S2
FOS,AP1S2
JUN,AP1S2
KAT7,AP1S2
