gene,ko_gene,log2fc,padj
MTSS1,GLI3,0.4332397204142743,6.455532207993997e-05
LRRTM2,GLI3,0.5899406964814715,7.113364348310114e-05
RPL37,GLI3,-0.18872945181999334,7.216519161770315e-05
ATP1B1,GLI3,0.287425389281714,7.474508804516944e-05
GRIP2,GLI3,0.878075607728358,7.488395665866676e-05
SIX3-AS1,GLI3,0.9305206785084221,7.911562165219266e-05
MEST,GLI3,0.41946461729523893,8.369892635240461e-05
TCEAL7,GLI3,0.35002838126880564,9.052054052283154e-05
XPR1,GLI3,0.3680372145624169,9.06137867389134e-05
PKIA,GLI3,0.3213454279574188,9.305379944279935e-05
SPATS2L,GLI3,0.4358236020563805,9.456873523028264e-05
RPL24,GLI3,-0.15310039358770666,0.00010987843516134966
MEF2C,GLI3,0.7015570499349363,0.00011832074202544618
NFIA,GLI3,-0.5882141641251112,0.00011904771935616567
INA,GLI3,0.3292916061296537,0.00012079197690084698
PGRMC1,GLI3,0.23937762741192126,0.00012132715694335161
VAMP2,GLI3,0.25162310199426674,0.0001257327154222665
NCKAP5,GLI3,-1.0990829147763388,0.0001362378183659623
PEG10,GLI3,0.24693340337021885,0.00014704629063633234
AMBN,GLI3,-1.9334970075007103,0.0001668985626758325
SLC6A1,GLI3,0.6587279792037888,0.00017978060595602585
MAPK10,GLI3,0.3637517229729042,0.00018039841467487605
RPLP0,GLI3,-0.23667039229609665,0.00022129907818234831
PURG,GLI3,0.526563536266988,0.0002275214477229781
AC007938.3,GLI3,0.6258240607026855,0.0002329170392449953
SRSF3,GLI3,-0.42731968458498804,0.0002712312780581377
NAP1L1,GLI3,-0.33509012492824963,0.0002994254491463522
LGI1,GLI3,1.0678769798199226,0.0003051485623553063
BLCAP,GLI3,0.33847686951693684,0.0003060997277977151
MYCBP2,GLI3,0.33753222082949785,0.00030801746962616505
PHYHIPL,GLI3,0.41108966948879927,0.00031097918280043046
NDN,GLI3,0.2544555569920721,0.00031708362769400367
RPL5,GLI3,-0.1980761737561334,0.0003477394598145311
RPS26,GLI3,-0.20396394234512005,0.00035314168490031627
FZD3,GLI3,0.27370504263524964,0.00035896581911121217
C11orf96,GLI3,0.3098248267080621,0.00038257639547367717
TANC2,GLI3,0.4689254421452084,0.00041802631920351274
APC,GLI3,0.29745904137838153,0.00044872852147737063
LRRC61,GLI3,0.9377950835060855,0.0004546088672334747
RTN1,GLI3,0.265989117447168,0.0004956140959011535
LRRC7,GLI3,0.507849635951062,0.0005248715722450115
NEUROD2,GLI3,-1.5902714515649368,0.0005536659042799495
RPL11,GLI3,-0.17181127337856505,0.0005652550448634195
AKAP9,GLI3,0.2778102420718298,0.000571754384707468
PPIA,GLI3,-0.1859750871292567,0.0006269171497117428
RPL30,GLI3,-0.1650272536676729,0.0006452750038937473
RPL29,GLI3,-0.17492669019521667,0.0006623522240924013
FNBP1L,GLI3,0.2722623893436318,0.0006896073245368228
PDE4D,GLI3,0.5659404965484647,0.0007009515803293453
SCN2A,GLI3,0.47379189515659526,0.0007339687064789047
GRIN2B,GLI3,0.4711370262634799,0.0007819883462261146
DCLK1,GLI3,0.34422319179215277,0.0008360900649844183
CSRNP3,GLI3,0.3325261739688394,0.0008851319406426583
SERINC1,GLI3,0.31372630476773655,0.0008891332820786246
BEX2,GLI3,0.250898740275145,0.0010077255669322938
RTL8C,GLI3,-0.5092325224673238,0.0010138145759896711
MIR124-2HG,GLI3,0.5903595353717831,0.001049155477175212
